iteration,avg_mee,std_mee,params
39,25.4572,1.2464,"{'learning_rate': np.float64(0.00020963587963493508), 'l2_lambda': np.float64(0.09583476814003042), 'batch_size': 16, 'hidden_layers': [64], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.9097903071074976), 'use_batch_norm': False, 'dropout_rate': np.float64(0.2766420574599485), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
9,25.6041,0.9709,"{'learning_rate': np.float64(0.0029303167640083783), 'l2_lambda': np.float64(0.0002652829238251829), 'batch_size': 16, 'hidden_layers': [64, 32], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.9538306844604041), 'use_batch_norm': True, 'dropout_rate': np.float64(0.19738456872291832), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
14,25.8413,1.3100,"{'learning_rate': np.float64(0.015357898219965816), 'l2_lambda': np.float64(4.335211522452848e-05), 'batch_size': 32, 'hidden_layers': [20], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.9084120345194566), 'use_batch_norm': True, 'dropout_rate': np.float64(0.2854115416448397), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
47,26.0644,1.0804,"{'learning_rate': np.float64(0.03037365834375405), 'l2_lambda': np.float64(3.501098813079298e-05), 'batch_size': 16, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.8214743418161612), 'use_batch_norm': True, 'dropout_rate': np.float64(0.2889243129836254), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
43,26.3165,2.3165,"{'learning_rate': np.float64(0.006586488233956504), 'l2_lambda': np.float64(0.00042577287944620714), 'batch_size': 32, 'hidden_layers': [32, 16], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.9580392473002476), 'use_batch_norm': True, 'dropout_rate': np.float64(0.20376257564344913), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
22,26.9332,1.4217,"{'learning_rate': np.float64(0.037630145638350584), 'l2_lambda': np.float64(0.0003423011573400899), 'batch_size': 16, 'hidden_layers': [40], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.8160828396970283), 'use_batch_norm': True, 'dropout_rate': np.float64(0.23454154207671984), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
36,27.5978,3.5067,"{'learning_rate': np.float64(0.002880058646970933), 'l2_lambda': np.float64(9.817188125425065e-05), 'batch_size': 32, 'hidden_layers': [30, 15], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.9897814403250438), 'use_batch_norm': True, 'dropout_rate': np.float64(0.15769714270049492), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
23,27.6266,2.6729,"{'learning_rate': np.float64(0.004082388706596361), 'l2_lambda': np.float64(2.7580242780435753e-05), 'batch_size': 16, 'hidden_layers': [20, 10], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.8859713278222204), 'use_batch_norm': True, 'dropout_rate': np.float64(0.09129660925691263), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
1,28.6450,2.3902,"{'learning_rate': np.float64(0.0009797222649196623), 'l2_lambda': np.float64(0.06588057556603455), 'batch_size': 32, 'hidden_layers': [20], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.9615713249769436), 'use_batch_norm': True, 'dropout_rate': np.float64(0.014247726855898013), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
30,30.6213,2.8886,"{'learning_rate': np.float64(0.046203928328257815), 'l2_lambda': np.float64(0.05084297316414494), 'batch_size': 32, 'hidden_layers': [20, 10], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.946593138947873), 'use_batch_norm': True, 'dropout_rate': np.float64(0.26279678895215935), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
48,34.0216,2.2248,"{'learning_rate': np.float64(0.00870470381533835), 'l2_lambda': np.float64(0.002822148796901036), 'batch_size': 32, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.8540381411632721), 'use_batch_norm': True, 'dropout_rate': np.float64(0.04849210020134905), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
17,36.9307,3.2498,"{'learning_rate': np.float64(0.0010474943153386666), 'l2_lambda': np.float64(0.013114865742518998), 'batch_size': 16, 'hidden_layers': [20, 10], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.9253632198470776), 'use_batch_norm': True, 'dropout_rate': np.float64(0.05861562751175879), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
18,39.5764,6.5946,"{'learning_rate': np.float64(0.0011950575673527635), 'l2_lambda': np.float64(0.0016669240714759837), 'batch_size': 32, 'hidden_layers': [30, 15], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.9398819575882578), 'use_batch_norm': True, 'dropout_rate': np.float64(0.010465786424068712), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
15,65.9698,16.0075,"{'learning_rate': np.float64(0.09434341217944495), 'l2_lambda': np.float64(6.490160505127108e-05), 'batch_size': 32, 'hidden_layers': [32, 16], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.808688441659641), 'use_batch_norm': True, 'dropout_rate': np.float64(0.04048183421995805), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
