iteration,avg_mee,std_mee,params
61,21.1090,0.8159,"{'learning_rate': 0.001962115830664651, 'l2_lambda': 1.687360529018503e-06, 'batch_size': 64, 'hidden_layers': [256], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.9694181883098447}"
62,20.7407,0.8955,"{'learning_rate': 0.00618527484740368, 'l2_lambda': 3.411861846892873e-05, 'batch_size': 128, 'hidden_layers': [128, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.8716488188119483}"
63,21.4872,1.1101,"{'learning_rate': 0.09263023800389185, 'l2_lambda': 3.06302489335681e-05, 'batch_size': 128, 'hidden_layers': [128, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9361466896495003}"
27,21.9067,0.3432,"{'learning_rate': 0.00927919338669311, 'l2_lambda': 6.901102345971078e-05, 'batch_size': 32, 'hidden_layers': [512, 128], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8865239191540029}"
64,22.9153,0.5623,"{'learning_rate': 0.0002647414867240683, 'l2_lambda': 6.66690959752676e-07, 'batch_size': 32, 'hidden_layers': [128], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.881047613166145}"
28,23.2268,0.4469,"{'learning_rate': 0.0004386400288352047, 'l2_lambda': 1.0994021503931533e-06, 'batch_size': 128, 'hidden_layers': [512], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8653930171535126}"
65,23.2214,0.4258,"{'learning_rate': 0.00028062945869041216, 'l2_lambda': 0.0031922808364218346, 'batch_size': 64, 'hidden_layers': [512], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8932923565366601}"
66,20.9473,0.7384,"{'learning_rate': 0.0071004494776167335, 'l2_lambda': 0.00011792564374234182, 'batch_size': 16, 'hidden_layers': [64], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.9083660581253757}"
67,22.5533,0.5580,"{'learning_rate': 0.0004733144173928725, 'l2_lambda': 0.0008781573975287352, 'batch_size': 256, 'hidden_layers': [128], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9535718820453972}"
29,21.5503,0.8459,"{'learning_rate': 0.0003323761481894074, 'l2_lambda': 0.002537046115702496, 'batch_size': 64, 'hidden_layers': [128, 64, 32], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9053598851204465}"
68,23.7621,1.8793,"{'learning_rate': 0.00014360952113629395, 'l2_lambda': 9.495516381405251e-07, 'batch_size': 128, 'hidden_layers': [512, 128], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.9321145287246483}"
69,20.7418,0.9197,"{'learning_rate': 0.003925554065490026, 'l2_lambda': 0.0036973374825209457, 'batch_size': 32, 'hidden_layers': [128, 64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9677639652110874}"
30,21.1756,0.6743,"{'learning_rate': 0.00010834698786902853, 'l2_lambda': 0.0008330020396088419, 'batch_size': 32, 'hidden_layers': [256, 128, 64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9456809293747248}"
31,26.2963,4.7629,"{'learning_rate': 0.07050079214517856, 'l2_lambda': 0.00021014999174494053, 'batch_size': 256, 'hidden_layers': [256, 128, 64], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9822381580990425}"
32,21.1470,0.2549,"{'learning_rate': 0.0015899662440254261, 'l2_lambda': 4.2933319624656546e-05, 'batch_size': 32, 'hidden_layers': [256, 64, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8849453023560898}"
70,19.9300,1.7374,"{'learning_rate': 0.02115605276564107, 'l2_lambda': 0.00013376276664508514, 'batch_size': 32, 'hidden_layers': [512, 256, 128, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9668161893986658}"
71,21.3174,0.6499,"{'learning_rate': 0.0017301646048342976, 'l2_lambda': 3.5043097296564885e-05, 'batch_size': 256, 'hidden_layers': [512, 256, 64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9406770651284372}"
33,18.1186,1.4209,"{'learning_rate': 0.004919032596825522, 'l2_lambda': 0.004663528955791473, 'batch_size': 32, 'hidden_layers': [256, 128, 64, 32], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8891371659094928}"
34,21.7015,0.6132,"{'learning_rate': 0.007817206313658223, 'l2_lambda': 1.4893769232234813e-05, 'batch_size': 64, 'hidden_layers': [64], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8886783142024903}"
72,21.5136,0.6387,"{'learning_rate': 0.0005684911059305669, 'l2_lambda': 8.667179616805764e-07, 'batch_size': 32, 'hidden_layers': [256, 128, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8896850888759499}"
35,20.5124,0.7037,"{'learning_rate': 0.0025722721902900164, 'l2_lambda': 0.007726195310466777, 'batch_size': 64, 'hidden_layers': [512], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9244124701975331}"
73,20.7258,0.6108,"{'learning_rate': 0.0045526479919140075, 'l2_lambda': 2.788752330782664e-05, 'batch_size': 64, 'hidden_layers': [128, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.8982460966673437}"
74,21.4606,0.5493,"{'learning_rate': 0.002364133056750488, 'l2_lambda': 2.0020968435573282e-05, 'batch_size': 32, 'hidden_layers': [128, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9112837763561185}"
36,21.1593,0.5940,"{'learning_rate': 0.0008947548268591513, 'l2_lambda': 0.00026299392475471605, 'batch_size': 16, 'hidden_layers': [256, 64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8885501044628301}"
75,19.0037,1.1066,"{'learning_rate': 0.005511827903175769, 'l2_lambda': 0.0038470851899551147, 'batch_size': 32, 'hidden_layers': [128, 64, 32], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.942117425140263}"
76,18.9188,1.2128,"{'learning_rate': 0.0214431999641078, 'l2_lambda': 0.0022118224307675336, 'batch_size': 32, 'hidden_layers': [256, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8793990143046072}"
77,21.4344,0.5090,"{'learning_rate': 0.004384142976441493, 'l2_lambda': 4.865850790793953e-07, 'batch_size': 256, 'hidden_layers': [256, 128, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8587599705916772}"
37,21.9288,0.5105,"{'learning_rate': 0.00032075292306793155, 'l2_lambda': 0.00018553085507265758, 'batch_size': 64, 'hidden_layers': [256, 128, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8750820264615853}"
78,20.9864,0.9335,"{'learning_rate': 0.00215200866898674, 'l2_lambda': 0.005150205923117703, 'batch_size': 64, 'hidden_layers': [512, 256, 128], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.9811209636849365}"
79,21.3687,0.6477,"{'learning_rate': 0.04157209879019938, 'l2_lambda': 3.688050226986004e-05, 'batch_size': 32, 'hidden_layers': [256, 128], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8550581781677435}"
80,20.4102,0.7641,"{'learning_rate': 0.011682033648913655, 'l2_lambda': 1.3608725348610019e-06, 'batch_size': 32, 'hidden_layers': [256, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.958616399466774}"
38,20.1986,0.7222,"{'learning_rate': 0.0014797173235149802, 'l2_lambda': 0.002799565635457468, 'batch_size': 16, 'hidden_layers': [256, 256, 128, 64], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.930456008834307}"
81,19.7633,0.9876,"{'learning_rate': 0.001909202923179688, 'l2_lambda': 0.0037723868289981015, 'batch_size': 32, 'hidden_layers': [512, 256, 128, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8898689377058402}"
39,21.2758,0.6008,"{'learning_rate': 0.0012011394261324435, 'l2_lambda': 0.0016985388929881171, 'batch_size': 64, 'hidden_layers': [512, 256, 64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9837586378819245}"
82,21.6690,0.3266,"{'learning_rate': 0.045435774039493504, 'l2_lambda': 2.696257366368721e-07, 'batch_size': 32, 'hidden_layers': [512, 128], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9100089341602055}"
40,21.8952,0.4816,"{'learning_rate': 0.0001175827916482033, 'l2_lambda': 0.0002484245348165774, 'batch_size': 128, 'hidden_layers': [256, 128], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9447690223170827}"
83,20.6575,0.5513,"{'learning_rate': 0.00618527484740368, 'l2_lambda': 3.411861846892873e-05, 'batch_size': 128, 'hidden_layers': [512, 256, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8716488188119483}"
41,21.5021,0.7166,"{'learning_rate': 0.0021070880314753714, 'l2_lambda': 8.534191550055516e-06, 'batch_size': 128, 'hidden_layers': [256, 128, 32], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8524807585936837}"
84,21.1985,0.6456,"{'learning_rate': 0.0001935067422439355, 'l2_lambda': 0.00014398326557136582, 'batch_size': 256, 'hidden_layers': [512, 256, 128, 64], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9734280544733196}"
42,29.7738,1.3933,"{'learning_rate': 0.0405025810131469, 'l2_lambda': 0.000465000051045248, 'batch_size': 16, 'hidden_layers': [256, 128, 64], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.9866765463017666}"
85,21.2023,1.1942,"{'learning_rate': 0.024903590397848556, 'l2_lambda': 2.9183238464466582e-05, 'batch_size': 64, 'hidden_layers': [256, 64, 32], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9103447230517236}"
43,20.9155,0.6123,"{'learning_rate': 0.0030492919234958523, 'l2_lambda': 7.067111578096167e-06, 'batch_size': 64, 'hidden_layers': [128, 64], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.95400189832395}"
44,23.2327,0.4071,"{'learning_rate': 0.00015420897311494287, 'l2_lambda': 4.99328748440475e-06, 'batch_size': 128, 'hidden_layers': [128, 32], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8972748954059437}"
45,20.3383,0.7012,"{'learning_rate': 0.000823570594319192, 'l2_lambda': 0.006379510629276606, 'batch_size': 128, 'hidden_layers': [256, 128, 64, 32], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9830368784720558}"
86,23.7106,2.0156,"{'learning_rate': 0.00010010132373066021, 'l2_lambda': 4.2833438466969245e-06, 'batch_size': 64, 'hidden_layers': [512, 256], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.9847513604687218}"
87,23.6249,0.4741,"{'learning_rate': 0.06658040263537729, 'l2_lambda': 3.6493612958546954e-05, 'batch_size': 64, 'hidden_layers': [128, 128, 64, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.978419090059047}"
46,18.2592,0.9684,"{'learning_rate': 0.04014378505367284, 'l2_lambda': 0.0065730518799770815, 'batch_size': 256, 'hidden_layers': [512, 256, 64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8904359869370491}"
47,22.8895,0.7379,"{'learning_rate': 0.00014165824755781487, 'l2_lambda': 4.1158555265979185e-06, 'batch_size': 256, 'hidden_layers': [256, 128], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9367064869686894}"
48,20.7044,0.7763,"{'learning_rate': 0.04893708398055563, 'l2_lambda': 0.00012710893370476646, 'batch_size': 128, 'hidden_layers': [128, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.856742539787331}"
49,21.1036,0.4785,"{'learning_rate': 0.0016723524636181682, 'l2_lambda': 3.593539151765645e-07, 'batch_size': 16, 'hidden_layers': [256, 64, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8889641049552011}"
50,20.2520,0.9948,"{'learning_rate': 0.028577760451821855, 'l2_lambda': 5.205578191847696e-07, 'batch_size': 16, 'hidden_layers': [256, 128, 32], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9758097378298368}"
51,23.6735,0.6475,"{'learning_rate': 0.0001389797392687254, 'l2_lambda': 2.6584571736230885e-06, 'batch_size': 256, 'hidden_layers': [64], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.989658162900801}"
88,20.9531,0.7741,"{'learning_rate': 0.00043983132083722903, 'l2_lambda': 2.0396403655511303e-07, 'batch_size': 16, 'hidden_layers': [512, 256, 128, 64], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.9423082092977564}"
52,20.6643,0.8712,"{'learning_rate': 0.007373394586444959, 'l2_lambda': 0.0006560194083359238, 'batch_size': 64, 'hidden_layers': [128, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.8636387107459196}"
